y4_hhid,region,district,ward,village,region_name,district_name,ward_name,village_name,ea,clusterid,occ,plotnum,plot_area,wardtype,clustertype,lat_modified,lon_modified
1780-001,dodoma,1,121,1,DODOMA,KONDOA,**CONFIDENTIAL**,MONGOROMA,1,10112101001,2,M2,4.190000057,rural,rural,-4.896474308,35.63331015
1784-001,dodoma,1,121,1,DODOMA,KONDOA,**CONFIDENTIAL**,MONGOROMA,1,10112101001,1,M1,5.090000153,rural,rural,-4.896474308,35.63331015
1781-001,dodoma,1,121,1,DODOMA,KONDOA,**CONFIDENTIAL**,MONGOROMA,1,10112101001,1,M1,25.07999992,rural,rural,-4.896474308,35.63331015
1786-001,dodoma,1,121,1,DODOMA,KONDOA,**CONFIDENTIAL**,MONGOROMA,1,10112101001,1,M1,6.690000057,rural,rural,-4.896474308,35.63331015
1782-001,dodoma,1,121,1,DODOMA,KONDOA,**CONFIDENTIAL**,MONGOROMA,1,10112101001,1,M1,8.779999733,rural,rural,-4.896474308,35.63331015
1779-001,dodoma,1,121,1,DODOMA,KONDOA,**CONFIDENTIAL**,MONGOROMA,1,10112101001,1,M1,3.069999933,rural,rural,-4.896474308,35.63331015
1785-001,dodoma,1,121,1,DODOMA,KONDOA,**CONFIDENTIAL**,MONGOROMA,1,10112101001,2,M2,2.190000057,rural,rural,-4.896474308,35.63331015
1785-001,dodoma,1,121,1,DODOMA,KONDOA,**CONFIDENTIAL**,MONGOROMA,1,10112101001,1,M1,3.549999952,rural,rural,-4.896474308,35.63331015
1780-001,dodoma,1,121,1,DODOMA,KONDOA,**CONFIDENTIAL**,MONGOROMA,1,10112101001,1,M1,23.25,rural,rural,-4.896474308,35.63331015
1783-001,dodoma,1,121,1,DODOMA,KONDOA,**CONFIDENTIAL**,MONGOROMA,1,10112101001,1,M1,11.60000038,rural,rural,-4.896474308,35.63331015
5775-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,3,M3,1,rural,rural,-6.658715377,36.08263746
5773-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,1,M1,0.790000021,rural,rural,-6.658715377,36.08263746
5776-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,1,M1,2.700000048,rural,rural,-6.658715377,36.08263746
5769-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,1,M1,4.559999943,rural,rural,-6.658715377,36.08263746
5770-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,1,M1,0.180000007,rural,rural,-6.658715377,36.08263746
5775-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,1,M1,1.440000057,rural,rural,-6.658715377,36.08263746
5771-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,4,M4,1.549999952,rural,rural,-6.658715377,36.08263746
5772-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,1,M1,1,rural,rural,-6.658715377,36.08263746
5771-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,2,M2,1.269999981,rural,rural,-6.658715377,36.08263746
5776-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,2,M2,7,rural,rural,-6.658715377,36.08263746
5769-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,2,M2,3.859999895,rural,rural,-6.658715377,36.08263746
5771-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,3,M3,1.350000024,rural,rural,-6.658715377,36.08263746
5773-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,2,M2,4,rural,rural,-6.658715377,36.08263746
5771-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,1,M1,0.50999999,rural,rural,-6.658715377,36.08263746
5774-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,1,M1,0.360000014,rural,rural,-6.658715377,36.08263746
5775-001,dodoma,2,131,4,DODOMA,MPWAPWA,**CONFIDENTIAL**,CHAMANDA,5,10213104005,2,M2,0.389999986,rural,rural,-6.658715377,36.08263746
1799-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,3,M3,2,rural,rural,-6.291397455,36.68087976
1803-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,3,M3,1.639999986,rural,rural,-6.291397455,36.68087976
1801-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,1.629999995,rural,rural,-6.291397455,36.68087976
1801-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,3,M3,1.519999981,rural,rural,-6.291397455,36.68087976
1802-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,3,M3,2.279999971,rural,rural,-6.291397455,36.68087976
1798-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,2,M2,2.430000067,rural,rural,-6.291397455,36.68087976
1805-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,2,M2,0.07,rural,rural,-6.291397455,36.68087976
1802-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,2,M2,7.130000114,rural,rural,-6.291397455,36.68087976
1803-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,2.779999971,rural,rural,-6.291397455,36.68087976
1802-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,1.100000024,rural,rural,-6.291397455,36.68087976
1804-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,2.069999933,rural,rural,-6.291397455,36.68087976
1798-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,3,M3,2.99000001,rural,rural,-6.291397455,36.68087976
1805-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,1.889999986,rural,rural,-6.291397455,36.68087976
1801-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,2,M2,3.410000086,rural,rural,-6.291397455,36.68087976
1800-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,3.059999943,rural,rural,-6.291397455,36.68087976
1803-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,4,M4,2.130000114,rural,rural,-6.291397455,36.68087976
1803-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,2,M2,2.130000114,rural,rural,-6.291397455,36.68087976
1801-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,4,M4,0.810000002,rural,rural,-6.291397455,36.68087976
1798-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,0.379999995,rural,rural,-6.291397455,36.68087976
1799-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,1.309999943,rural,rural,-6.291397455,36.68087976
1799-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,2,M2,2.960000038,rural,rural,-6.291397455,36.68087976
5792-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,2.24000001,rural,rural,-6.158228051,36.20868104
5795-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,4,M4,0.449999988,rural,rural,-6.158228051,36.20868104
5794-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,2,M2,1.889999986,rural,rural,-6.158228051,36.20868104
5793-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,4.429999828,rural,rural,-6.158228051,36.20868104
5788-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,1.090000033,rural,rural,-6.158228051,36.20868104
5794-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,2.190000057,rural,rural,-6.158228051,36.20868104
5791-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,3,M3,1,rural,rural,-6.158228051,36.20868104
5789-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,0.689999998,rural,rural,-6.158228051,36.20868104
